image_name,image_path,true_scene_label,predicted_label,confidence,top5_predictions,semantically_aligned,thesis_class
Places365_val_00000046.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000046.jpg,street,parachute,0.2033,"[{""rank"": 1, ""label"": ""parachute"", ""confidence"": 0.2033}, {""rank"": 2, ""label"": ""unicycle"", ""confidence"": 0.1461}, {""rank"": 3, ""label"": ""maypole"", ""confidence"": 0.1443}, {""rank"": 4, ""label"": ""flagpole"", ""confidence"": 0.0722}, {""rank"": 5, ""label"": ""pole"", ""confidence"": 0.0472}]",False,street
Places365_val_00000047.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000047.jpg,alley,park bench,0.1075,"[{""rank"": 1, ""label"": ""park bench"", ""confidence"": 0.1075}, {""rank"": 2, ""label"": ""dam"", ""confidence"": 0.0651}, {""rank"": 3, ""label"": ""viaduct"", ""confidence"": 0.0551}, {""rank"": 4, ""label"": ""suspension bridge"", ""confidence"": 0.0532}, {""rank"": 5, ""label"": ""fountain"", ""confidence"": 0.0518}]",False,street
Places365_val_00000241.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000241.jpg,forest-broadleaf,worm fence,0.2346,"[{""rank"": 1, ""label"": ""worm fence"", ""confidence"": 0.2346}, {""rank"": 2, ""label"": ""lakeside"", ""confidence"": 0.1969}, {""rank"": 3, ""label"": ""mountain tent"", ""confidence"": 0.1157}, {""rank"": 4, ""label"": ""park bench"", ""confidence"": 0.0579}, {""rank"": 5, ""label"": ""swing"", ""confidence"": 0.0459}]",False,forest
Places365_val_00000247.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000247.jpg,highway,suspension bridge,0.1863,"[{""rank"": 1, ""label"": ""suspension bridge"", ""confidence"": 0.1863}, {""rank"": 2, ""label"": ""dam"", ""confidence"": 0.1806}, {""rank"": 3, ""label"": ""valley"", ""confidence"": 0.0617}, {""rank"": 4, ""label"": ""alp"", ""confidence"": 0.0524}, {""rank"": 5, ""label"": ""pole"", ""confidence"": 0.0455}]",False,street
Places365_val_00000364.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000364.jpg,rainforest,birdhouse,0.6076,"[{""rank"": 1, ""label"": ""birdhouse"", ""confidence"": 0.6076}, {""rank"": 2, ""label"": ""mailbox"", ""confidence"": 0.0799}, {""rank"": 3, ""label"": ""street sign"", ""confidence"": 0.0494}, {""rank"": 4, ""label"": ""picket fence"", ""confidence"": 0.0313}, {""rank"": 5, ""label"": ""totem pole"", ""confidence"": 0.0244}]",False,forest
Places365_val_00000451.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000451.jpg,skyscraper,scoreboard,0.0925,"[{""rank"": 1, ""label"": ""scoreboard"", ""confidence"": 0.0925}, {""rank"": 2, ""label"": ""airship"", ""confidence"": 0.0723}, {""rank"": 3, ""label"": ""pier"", ""confidence"": 0.0679}, {""rank"": 4, ""label"": ""bell cote"", ""confidence"": 0.0418}, {""rank"": 5, ""label"": ""turnstile"", ""confidence"": 0.0381}]",False,building
Places365_val_00000588.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000588.jpg,forest-broadleaf,lakeside,0.1412,"[{""rank"": 1, ""label"": ""lakeside"", ""confidence"": 0.1412}, {""rank"": 2, ""label"": ""geyser"", ""confidence"": 0.1398}, {""rank"": 3, ""label"": ""snowmobile"", ""confidence"": 0.0527}, {""rank"": 4, ""label"": ""canoe"", ""confidence"": 0.0519}, {""rank"": 5, ""label"": ""dogsled"", ""confidence"": 0.0514}]",False,forest
Places365_val_00000921.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000921.jpg,tower,valley,0.3362,"[{""rank"": 1, ""label"": ""valley"", ""confidence"": 0.3362}, {""rank"": 2, ""label"": ""lakeside"", ""confidence"": 0.3232}, {""rank"": 3, ""label"": ""dam"", ""confidence"": 0.1631}, {""rank"": 4, ""label"": ""suspension bridge"", ""confidence"": 0.0501}, {""rank"": 5, ""label"": ""steel arch bridge"", ""confidence"": 0.0193}]",False,building
Places365_val_00001074.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001074.jpg,forest-broadleaf,yellow lady's slipper,0.034,"[{""rank"": 1, ""label"": ""yellow lady's slipper"", ""confidence"": 0.034}, {""rank"": 2, ""label"": ""echidna"", ""confidence"": 0.0242}, {""rank"": 3, ""label"": ""ruffed grouse"", ""confidence"": 0.0237}, {""rank"": 4, ""label"": ""wood rabbit"", ""confidence"": 0.0234}, {""rank"": 5, ""label"": ""armadillo"", ""confidence"": 0.0216}]",False,forest
Places365_val_00001208.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001208.jpg,downtown,car mirror,0.31,"[{""rank"": 1, ""label"": ""car mirror"", ""confidence"": 0.31}, {""rank"": 2, ""label"": ""monitor"", ""confidence"": 0.0936}, {""rank"": 3, ""label"": ""bullet train"", ""confidence"": 0.0478}, {""rank"": 4, ""label"": ""moving van"", ""confidence"": 0.0369}, {""rank"": 5, ""label"": ""cab"", ""confidence"": 0.028}]",False,building
Places365_val_00001226.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001226.jpg,alley,monastery,0.1697,"[{""rank"": 1, ""label"": ""monastery"", ""confidence"": 0.1697}, {""rank"": 2, ""label"": ""prison"", ""confidence"": 0.089}, {""rank"": 3, ""label"": ""palace"", ""confidence"": 0.0633}, {""rank"": 4, ""label"": ""gondola"", ""confidence"": 0.0377}, {""rank"": 5, ""label"": ""library"", ""confidence"": 0.0376}]",False,street
Places365_val_00001238.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001238.jpg,forest-broadleaf,planetarium,0.1977,"[{""rank"": 1, ""label"": ""planetarium"", ""confidence"": 0.1977}, {""rank"": 2, ""label"": ""park bench"", ""confidence"": 0.1226}, {""rank"": 3, ""label"": ""worm fence"", ""confidence"": 0.1035}, {""rank"": 4, ""label"": ""water tower"", ""confidence"": 0.0624}, {""rank"": 5, ""label"": ""church"", ""confidence"": 0.057}]",False,forest
Places365_val_00001324.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00001324.jpg,highway,dam,0.2526,"[{""rank"": 1, ""label"": ""dam"", ""confidence"": 0.2526}, {""rank"": 2, ""label"": ""worm fence"", ""confidence"": 0.1913}, {""rank"": 3, ""label"": ""breakwater"", ""confidence"": 0.1092}, {""rank"": 4, ""label"": ""lakeside"", ""confidence"": 0.0571}, {""rank"": 5, ""label"": ""thatch"", ""confidence"": 0.0377}]",False,street
