image_name,image_path,true_scene_label,predicted_label,confidence,top5_predictions,semantically_aligned,thesis_class
Places365_val_00000001.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000001.jpg,greenhouse-indoor,park bench,0.3659,"[{""rank"": 1, ""label"": ""park bench"", ""confidence"": 0.3659}, {""rank"": 2, ""label"": ""swing"", ""confidence"": 0.2706}, {""rank"": 3, ""label"": ""schipperke"", ""confidence"": 0.0157}, {""rank"": 4, ""label"": ""maze"", ""confidence"": 0.0153}, {""rank"": 5, ""label"": ""soccer ball"", ""confidence"": 0.0142}]",False,
Places365_val_00000002.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000002.jpg,wet_bar,plate rack,0.393,"[{""rank"": 1, ""label"": ""plate rack"", ""confidence"": 0.393}, {""rank"": 2, ""label"": ""microwave"", ""confidence"": 0.2313}, {""rank"": 3, ""label"": ""china cabinet"", ""confidence"": 0.0884}, {""rank"": 4, ""label"": ""entertainment center"", ""confidence"": 0.0697}, {""rank"": 5, ""label"": ""medicine chest"", ""confidence"": 0.0302}]",False,
Places365_val_00000003.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000003.jpg,clean_room,lab coat,0.2217,"[{""rank"": 1, ""label"": ""lab coat"", ""confidence"": 0.2217}, {""rank"": 2, ""label"": ""barbershop"", ""confidence"": 0.1153}, {""rank"": 3, ""label"": ""barber chair"", ""confidence"": 0.0535}, {""rank"": 4, ""label"": ""photocopier"", ""confidence"": 0.05}, {""rank"": 5, ""label"": ""desk"", ""confidence"": 0.0262}]",False,
Places365_val_00000004.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000004.jpg,golf_course,football helmet,0.4859,"[{""rank"": 1, ""label"": ""football helmet"", ""confidence"": 0.4859}, {""rank"": 2, ""label"": ""soccer ball"", ""confidence"": 0.241}, {""rank"": 3, ""label"": ""rugby ball"", ""confidence"": 0.0705}, {""rank"": 4, ""label"": ""croquet ball"", ""confidence"": 0.0684}, {""rank"": 5, ""label"": ""ballplayer"", ""confidence"": 0.0369}]",False,
Places365_val_00000005.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000005.jpg,rock_arch,cliff,0.6754,"[{""rank"": 1, ""label"": ""cliff"", ""confidence"": 0.6754}, {""rank"": 2, ""label"": ""promontory"", ""confidence"": 0.188}, {""rank"": 3, ""label"": ""megalith"", ""confidence"": 0.07}, {""rank"": 4, ""label"": ""valley"", ""confidence"": 0.0197}, {""rank"": 5, ""label"": ""seashore"", ""confidence"": 0.0158}]",False,
Places365_val_00000006.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000006.jpg,corridor,desk,0.1503,"[{""rank"": 1, ""label"": ""desk"", ""confidence"": 0.1503}, {""rank"": 2, ""label"": ""library"", ""confidence"": 0.1176}, {""rank"": 3, ""label"": ""sliding door"", ""confidence"": 0.0962}, {""rank"": 4, ""label"": ""home theater"", ""confidence"": 0.0911}, {""rank"": 5, ""label"": ""shoji"", ""confidence"": 0.0816}]",False,
Places365_val_00000007.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000007.jpg,canyon,cliff,0.9617,"[{""rank"": 1, ""label"": ""cliff"", ""confidence"": 0.9617}, {""rank"": 2, ""label"": ""wreck"", ""confidence"": 0.0045}, {""rank"": 3, ""label"": ""king crab"", ""confidence"": 0.0034}, {""rank"": 4, ""label"": ""Arabian camel"", ""confidence"": 0.0033}, {""rank"": 5, ""label"": ""cliff dwelling"", ""confidence"": 0.0027}]",False,
Places365_val_00000008.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000008.jpg,dining_room,dining table,0.3775,"[{""rank"": 1, ""label"": ""dining table"", ""confidence"": 0.3775}, {""rank"": 2, ""label"": ""four-poster"", ""confidence"": 0.2595}, {""rank"": 3, ""label"": ""china cabinet"", ""confidence"": 0.174}, {""rank"": 4, ""label"": ""restaurant"", ""confidence"": 0.0956}, {""rank"": 5, ""label"": ""barber chair"", ""confidence"": 0.0127}]",False,
Places365_val_00000009.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000009.jpg,forest-broadleaf,lakeside,0.0747,"[{""rank"": 1, ""label"": ""lakeside"", ""confidence"": 0.0747}, {""rank"": 2, ""label"": ""wool"", ""confidence"": 0.0575}, {""rank"": 3, ""label"": ""poncho"", ""confidence"": 0.052}, {""rank"": 4, ""label"": ""valley"", ""confidence"": 0.0339}, {""rank"": 5, ""label"": ""cloak"", ""confidence"": 0.0327}]",False,forest
Places365_val_00000010.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000010.jpg,shopping_mall-indoor,greenhouse,0.523,"[{""rank"": 1, ""label"": ""greenhouse"", ""confidence"": 0.523}, {""rank"": 2, ""label"": ""carousel"", ""confidence"": 0.2501}, {""rank"": 3, ""label"": ""window shade"", ""confidence"": 0.0271}, {""rank"": 4, ""label"": ""sliding door"", ""confidence"": 0.0185}, {""rank"": 5, ""label"": ""triceratops"", ""confidence"": 0.0167}]",False,
Places365_val_00000011.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000011.jpg,baseball_field,ballplayer,0.5783,"[{""rank"": 1, ""label"": ""ballplayer"", ""confidence"": 0.5783}, {""rank"": 2, ""label"": ""baseball"", ""confidence"": 0.42}, {""rank"": 3, ""label"": ""football helmet"", ""confidence"": 0.0007}, {""rank"": 4, ""label"": ""soccer ball"", ""confidence"": 0.0004}, {""rank"": 5, ""label"": ""croquet ball"", ""confidence"": 0.0002}]",False,
Places365_val_00000012.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000012.jpg,campus,palace,0.2384,"[{""rank"": 1, ""label"": ""palace"", ""confidence"": 0.2384}, {""rank"": 2, ""label"": ""church"", ""confidence"": 0.1752}, {""rank"": 3, ""label"": ""castle"", ""confidence"": 0.1498}, {""rank"": 4, ""label"": ""planetarium"", ""confidence"": 0.0926}, {""rank"": 5, ""label"": ""monastery"", ""confidence"": 0.0694}]",False,
Places365_val_00000013.jpg,/Users/aidahamzic/PycharmProjects/PythonProject1/val_256/Places365_val_00000013.jpg,beach_house,seashore,0.1625,"[{""rank"": 1, ""label"": ""seashore"", ""confidence"": 0.1625}, {""rank"": 2, ""label"": ""lakeside"", ""confidence"": 0.1586}, {""rank"": 3, ""label"": ""promontory"", ""confidence"": 0.1192}, {""rank"": 4, ""label"": ""breakwater"", ""confidence"": 0.0907}, {""rank"": 5, ""label"": ""dam"", ""confidence"": 0.0721}]",False,
